movieId,title,genres,chinese_title,link
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,《玩具总动员》,https://www.youtube.com/embed/v-PjgYDrg70
1,Braveheart (1995),Action|Drama|War,《勇敢的心》,https://www.youtube.com/embed/1NJO0jxBtMo
2,Apollo 13 (1995),Adventure|Drama|IMAX,《阿波罗13号》,https://www.youtube.com/embed/KtEIMC58sZo
3,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,《虎胆龙威3》,https://www.youtube.com/embed/SYgC96UAa1I?si=dz0lXbstF6vlON1p
4,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,《低俗小说》,https://www.youtube.com/embed/s7EdQ4FqbhY
5,Forrest Gump (1994),Comedy|Drama|Romance|War,《阿甘正传》,https://www.youtube.com/embed/bLvqoHBptjg
6,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,《侏罗纪公园》,https://www.youtube.com/embed/QWBKEmWWL38
7,Schindler's List (1993),Drama|War,《辛德勒的名单》,https://www.youtube.com/embed/gG22XNhtnoY
8,Blade Runner (1982),Action|Sci-Fi|Thriller,《银翼杀手》,https://www.youtube.com/embed/eogpIG53Cis
9,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,《阿拉丁》,https://www.youtube.com/embed/eTjHiQKJUDY
10,Terminator 2: Judgment Day (1991),Action|Sci-Fi,《终结者2：审判日》,https://www.youtube.com/embed/CRRlbK5w8AE
11,Dances with Wolves (1990),Adventure|Drama|Western,《与狼共舞》,https://www.youtube.com/embed/q6jBTxE4GsM?si=-0potGrwsvxG9CRz
12,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,《美女与野兽》,https://www.youtube.com/embed/iurbZwxKFUE?si=Uz3rNO_ctdi3nM3T
13,Fargo (1996),Comedy|Crime|Drama|Thriller,《冰血暴》,https://www.youtube.com/embed/h2tY82z3xXU
14,Die Hard (1988),Action|Crime|Thriller,《虎胆龙威》,https://www.youtube.com/embed/2TQ-pOvI6Xo
